,Unnamed: 0.1,Unnamed: 0,season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes,league_name,league_id,xG,xGA,xGD,xGD/90,Last 5
0,0.0,,2014,1.0,Cruzeiro,38.0,24.0,8.0,6.0,67.0,38.0,29.0,80.0,2.11,29678.0,"Marcelo Martins Moreno, Ricardo Goulart - 15",Fábio,→ Copa Libertadores via league finish,Brasileirao,24,,,,,
1,1.0,,2014,2.0,São Paulo,38.0,20.0,10.0,8.0,59.0,40.0,19.0,70.0,1.84,28544.0,"Luís Fabiano, Alexandre Pato - 9",Rogério Ceni,→ Copa Libertadores via league finish,Brasileirao,24,,,,,
2,2.0,,2014,3.0,Internacional,38.0,21.0,6.0,11.0,53.0,41.0,12.0,69.0,1.82,22318.0,Rafael Moura - 8,Dida,→ Copa Libertadores via league finish,Brasileirao,24,,,,,
3,3.0,,2014,4.0,Corinthians,38.0,19.0,12.0,7.0,49.0,31.0,18.0,69.0,1.82,29013.0,Paolo Guerrero - 12,Cássio,→ Copa Libertadores via league finish,Brasileirao,24,,,,,
4,4.0,,2014,5.0,Atlético Mineiro,38.0,17.0,11.0,10.0,51.0,38.0,13.0,62.0,1.63,14132.0,Diego Tardelli - 10,Victor Leandro Bagy,→ Copa Libertadores via cup win 1,Brasileirao,24,,,,,
5,5.0,,2014,6.0,Fluminense,38.0,17.0,10.0,11.0,61.0,42.0,19.0,61.0,1.61,21272.0,Fred - 18,Diego Cavalieri,,Brasileirao,24,,,,,
6,6.0,,2014,7.0,Grêmio,38.0,17.0,10.0,11.0,36.0,24.0,12.0,61.0,1.61,21028.0,Hernán Barcos - 14,Marcelo Grohe,,Brasileirao,24,,,,,
7,7.0,,2014,8.0,Ath Paranaense,38.0,15.0,9.0,14.0,43.0,42.0,1.0,54.0,1.42,9661.0,Cléo - 9,Wéverton,,Brasileirao,24,,,,,
8,8.0,,2014,9.0,Santos,38.0,15.0,8.0,15.0,42.0,35.0,7.0,53.0,1.39,9243.0,Gabriel Barbosa - 8,Aranha,,Brasileirao,24,,,,,
9,9.0,,2014,10.0,Flamengo,38.0,14.0,10.0,14.0,46.0,47.0,-1.0,52.0,1.37,30519.0,Eduardo da Silva - 8,Paulo Victor Vidotti,,Brasileirao,24,,,,,
10,10.0,,2014,11.0,Sport Recife,38.0,14.0,10.0,14.0,36.0,46.0,-10.0,52.0,1.37,18220.0,Patric Cabral Lalau - 7,Magrão,,Brasileirao,24,,,,,
11,11.0,,2014,12.0,Goiás,38.0,13.0,8.0,17.0,38.0,40.0,-2.0,47.0,1.24,6958.0,Erik Lima - 12,Renan Brito Soares,,Brasileirao,24,,,,,
12,12.0,,2014,13.0,Figueirense,38.0,13.0,8.0,17.0,37.0,47.0,-10.0,47.0,1.24,8378.0,Everaldo Stum - 6,Tiago Volpi,,Brasileirao,24,,,,,
13,13.0,,2014,14.0,Coritiba,38.0,12.0,11.0,15.0,42.0,45.0,-3.0,47.0,1.24,11865.0,Diederrick Joel - 8,Vanderlei,,Brasileirao,24,,,,,
14,14.0,,2014,15.0,Chapecoense,38.0,11.0,10.0,17.0,39.0,44.0,-5.0,43.0,1.13,9994.0,Leandro Pereira - 10,Danilo,,Brasileirao,24,,,,,
15,15.0,,2014,16.0,Palmeiras,38.0,11.0,7.0,20.0,34.0,59.0,-25.0,40.0,1.05,19755.0,Henrique Dourado - 13,Fábio Szymonek,,Brasileirao,24,,,,,
16,16.0,,2014,17.0,Vitória,38.0,10.0,8.0,20.0,37.0,54.0,-17.0,38.0,1.0,10267.0,Dinei - 9,Wilson,Relegated,Brasileirao,24,,,,,
